python,flask,django,fastapi,node.js,express.js,react,vue,angular
javascript,typescript,html,css,bootstrap,tailwind,sass,less
sql,mysql,postgresql,mongodb,redis,elasticsearch,firebase
aws,azure,gcp,docker,kubernetes,jenkins,git,github,gitlab
linux,bash,shell,nginx,apache,rest,graphql,api,microservices
machine learning,deep learning,nlp,computer vision,ai,data science
pandas,numpy,scikit-learn,tensorflow,pytorch,opencv,tableau,power bi
java,c++,c#,php,ruby,go,rust,swift,kotlin
agile,scrum,devops,ci/cd,tdd,bdd,oop,design patterns
excel,powerpoint,word,communication,leadership,problem solving
